compartment_a,compartment_b,observed,null_mean,null_std,z_score,p_empirical,q_value,direction,significant
cytosol,lysosome,5,3.038,1.6360183373055448,1.1992530616932655,0.36327345309381237,0.534628855496554,enriched,False
cytoskeleton,extracellular,9,11.93,3.2816306922016683,-0.8928487922064877,0.4750499001996008,0.6861831891772012,depleted,False
golgi,peroxisome,1,0.296,0.555323329241623,1.267729920443676,0.5029940119760479,0.7133369624387588,enriched,False
cytosol,golgi,25,28.938,5.29435132948315,-0.7438116125898351,0.5149700598802395,0.7172797262617622,depleted,False
cell junction,cytoskeleton,1,0.354,0.5938720400894454,1.0877764171263282,0.590818363273453,0.8084882865847253,enriched,False
mitochondrion,vesicle,4,5.658,2.161720610994862,-0.7669816310059417,0.6227544910179641,0.837497418955193,depleted,False
cytosol,endoplasmic_reticulum,13,11.02,3.27957314295626,0.603737106535516,0.6467065868263473,0.8549680300416117,enriched,False
cytosol,plasma_membrane,170,164.748,11.460737149066809,0.458260226343962,0.6706586826347305,0.8718562874251496,enriched,False
cell junction,cytosol,1,2.204,1.5054514273134154,-0.7997601105926236,0.6986027944111777,0.8932953764601944,depleted,False
cytosol,peroxisome,1,0.632,0.7566875180680595,0.48633021057299985,0.9700598802395209,1.0,enriched,False
cytoskeleton,nucleus,101,100.29,7.3466931336486345,0.09664212007823199,0.9740518962075848,1.0,enriched,False
cytoskeleton,peroxisome,0,0.118,0.3347775380756601,-0.3524728710243752,1.0,1.0,depleted,False
lysosome,vesicle,0,0.096,0.3013038333642637,-0.318615262634047,1.0,1.0,depleted,False
lysosome,peroxisome,0,0.022,0.14668333238647124,-0.14998295745037957,1.0,1.0,depleted,False
golgi,vesicle,1,0.796,0.8404665371090034,0.2427223345520803,1.0,1.0,enriched,False
extracellular,vesicle,1,1.79,1.2719669807035086,-0.6210853048740788,0.8942115768463074,1.0,depleted,False
endoplasmic_reticulum,vesicle,0,0.346,0.5498036012977725,-0.6293156304965836,1.0,1.0,depleted,False
endoplasmic_reticulum,peroxisome,0,0.092,0.289025950392002,-0.3183105180528656,1.0,1.0,depleted,False
extracellular,peroxisome,1,0.576,0.7564548896001664,0.5605092991389222,0.8662674650698603,1.0,enriched,False
cell junction,endoplasmic_reticulum,0,0.44,0.6711184694225006,-0.6556219505903649,1.0,1.0,depleted,False
cell junction,peroxisome,0,0.022,0.15973728431396347,-0.13772614261276048,1.0,1.0,depleted,False
cell junction,nucleus,19,18.074,3.157930334887076,0.2932300278350222,0.8622754491017964,1.0,enriched,False
cell junction,plasma_membrane,6,5.71,2.2022488506070337,0.13168357423370372,1.0,1.0,enriched,False
cell junction,lysosome,0,0.154,0.3927900202398223,-0.3920669876133146,1.0,1.0,depleted,False
cell junction,golgi,0,0.936,0.967421314629774,-0.9675205475064412,0.7984031936127745,1.0,depleted,False
peroxisome,peroxisome,0,0.002,0.044676615807377355,-0.04476614810358452,1.0,1.0,depleted,False
