uniprot,symbol,compartments,n_compartments
P00813,ADA,cell junction;cytosol;lysosome;plasma_membrane;vesicle,5
Q8N7W2-2,BEND7,extracellular;vesicle,2
Q6ZMN8,CCNI2,nucleus,1
P20138,CD33,golgi;nucleus;peroxisome;plasma_membrane;vesicle,5
P55039,DRG2,cytosol;nucleus,2
Q9UJM8,HAO1,cytosol;peroxisome,2
Q9NZL4,HSPBP1,endoplasmic_reticulum;extracellular,2
Q92604,LPGAT1,endoplasmic_reticulum;nucleus,2
P43363,MAGEA10,cytosol;nucleus,2
O15264,MAPK13,cytosol;nucleus,2
O15143,ARPC1B,cell junction;cytoskeleton;cytosol;extracellular;nucleus;vesicle,6
Q08752,PPID,cytosol;nucleolus;nucleus,3
Q8N3J5,PPM1K,mitochondrion,1
Q15050,RRS1,nucleolus;nucleus,2
O60507,TPST1,golgi,1
P06132,UROD,cytosol;nucleus,2
Q7L8A9,VASH1,cytosol;endoplasmic_reticulum;extracellular,3
Q99848,EBNA1BP2,nucleolus;nucleus,2
P28566,HTR1E,plasma_membrane,1
P05111,INHA,extracellular;plasma_membrane,2
O60663-2,LMX1B,nucleus,1
Q9H1B4-2,NXF5,nucleus,1
Q9BWT1-2,CDCA7,cytosol;nucleus,2
Q07864,POLE,nucleus;plasma_membrane,2
Q6PGN9-2,PSRC1,cytoskeleton;cytosol;nucleus,3
P78406,RAE1,cytoskeleton;nucleolus;nucleus,3
Q7Z5B4-5,RIC3,endoplasmic_reticulum;golgi;nucleus;plasma_membrane,4
Q9BXA7,TSSK1B,plasma_membrane;vesicle,2
P62068-3,USP46,cytosol;nucleus,2
Q9NZR4,VSX1,nucleus,1
Q9P0U1,TOMM7,mitochondrion,1
P56385,ATP5ME,mitochondrion,1
P02795,MT2A,cytosol;nucleus,2
O15239,NDUFA1,mitochondrion,1
Q9NPE3,NOP10,nucleolus;nucleus,2
P54368,OAZ1,cytosol;nucleus,2
P62875,POLR2L,cytosol;nucleolus;nucleus,3
P63220,RPS21,cytosol;endoplasmic_reticulum;nucleus,3
P62857,RPS28,cytosol;endoplasmic_reticulum;extracellular;nucleus;vesicle,5
P50502,ST13,cytosol;extracellular;vesicle,3
Q9UDW1,UQCR10,mitochondrion,1
Q14061,COX17,mitochondrion,1
P50151,GNG10,plasma_membrane,1
P63218,GNG5,extracellular;plasma_membrane;vesicle,3
O75394,MRPL33,mitochondrion,1
Q9BS18,ANAPC13,nucleus,1
P63215,GNG3,plasma_membrane,1
P50150,GNG4,extracellular;plasma_membrane;vesicle,3
Q9Y5U9,IER3IP1,endoplasmic_reticulum;golgi;nucleus;vesicle,4
P62312,LSM6,cytosol;nucleolus;nucleus,3
Q9NWA0,MED9,nucleus,1
Q08AG7,MZT1,cytoskeleton;cytosol,2
Q92686,NRGN,cytosol,1
O60356,NUPR1,extracellular;nucleus,2
Q9Y2B9,PKIG,nucleus,1
P60602,ROMO1,mitochondrion,1
P02814,SMR3B,extracellular;vesicle,2
A8MWD9,SNRPG,cytosol;nucleus,2
O43715,TRIAP1,mitochondrion;nucleus,2
Q15643,TRIP11,cytoskeleton;er_golgi_intermediate;golgi;nucleus;vesicle,5
Q99576,TSC22D3,cytosol;nucleus,2
O14949,UQCRQ,mitochondrion,1
Q9NRR8,CDC42SE1,cell junction;cytoskeleton;plasma_membrane,3
P61024,CKS1B,nucleus,1
P14406,COX7A2,mitochondrion,1
Q9NSA3,CTNNBIP1,cytosol;nucleus,2
Q5J5C9,DEFB121,extracellular,1
Q96FX2,DPH3,cytosol;nucleus,2
Q9NRR3,CDC42SE2,cytoskeleton;plasma_membrane,2
Q9BUK0-2,CHCHD7,mitochondrion,1
Q7Z4G1-2,COMMD6,endosome;nucleus;vesicle,3
P14854,COX6B1,mitochondrion,1
P63167,DYNLL1,cytoskeleton;cytosol;mitochondrion;nucleus;plasma_membrane;vesicle,6
Q96FJ2,DYNLL2,cell junction;cytoskeleton;cytosol;nucleus;plasma_membrane;synapse,6
P30047,GCHFR,cytosol;nucleus;plasma_membrane;vesicle,4
P01148,GNRH1,extracellular,1
Q9Y241-2,HIGD1A,mitochondrion;nucleus,2
P05204,HMGN2,extracellular;nucleolus;nucleus,3
Q96AZ6-2,ISG20,nucleolus;nucleus,2
Q9Y4Y9-2,LSM5,cytosol;nucleus,2
Q9NU23,LYRM2,mitochondrion,1
Q13015,MLLT11,cytoskeleton;cytosol;mitochondrion;nucleus,4
Q9BQ48,MRPL34,mitochondrion,1
Q96DR8,MUCL1,extracellular;golgi;plasma_membrane,3
Q9NRX3,NDUFA4L2,mitochondrion,1
O43157-2,PLXNB1,extracellular;plasma_membrane,2
P61513,RPL37A,cell junction;cytosol;extracellular;nucleus;vesicle,5
P42677,RPS27,cell junction;cytosol;nucleus;synapse,4
P06703,S100A6,cytosol;extracellular;nucleus;plasma_membrane;vesicle,5
P05109,S100A8,cytoskeleton;cytosol;extracellular;nucleus;plasma_membrane;vesicle,6
P04271,S100B,cytosol;extracellular;nucleus;plasma_membrane,4
P11684,SCGB1A1,extracellular;vesicle,2
O75324,SNN,mitochondrion,1
P62304,SNRPE,cytosol;nucleus,2
P62306,SNRPF,cytosol;nucleus,2
P20155,SPINK2,extracellular;vesicle,2
O60575,SPINK4,extracellular,1
P58062,SPINK7,extracellular,1
P49458,SRP9,cytosol;endoplasmic_reticulum;nucleus,3
A1L4H1,SSC5D,extracellular,1
P61960,UFM1,endoplasmic_reticulum;nucleus,2
P07919,UQCRH,mitochondrion,1
O00626,CCL22,extracellular,1
P13501,CCL5,extracellular,1
P14621,ACYP2,mitochondrion,1
P02652,APOA2,cytosol;endoplasmic_reticulum;endosome;extracellular;vesicle,5
O60220,TIMM8A,mitochondrion,1
Q0VGL1,LAMTOR4,endosome;lysosome;vesicle,3
Q99731,CCL19,extracellular,1
O60516,EIF4EBP3,nucleus,1
P05114,HMGN1,nucleus,1
O43676,NDUFB3,mitochondrion,1
Q5JTB6,PLAC9,extracellular,1
P25815,S100P,extracellular;nucleus;plasma_membrane;vesicle,4
P02655,APOC2,endosome;extracellular;vesicle,3
P02818,BGLAP,endoplasmic_reticulum;extracellular;golgi,3
P15382,KCNE1,lysosome;plasma_membrane,2
P62310,LSM3,cytosol;nucleus,2
P82909,MRPS36,mitochondrion,1
Q99417,MYCBP,mitochondrion;nucleus,2
O75438,NDUFB1,mitochondrion;nucleus,2
O43920,NDUFS5,mitochondrion,1
O60829,PAGE4,mitochondrion;nucleus,2
P61457,PCBD1,cytosol;extracellular;nucleus;vesicle,4
P10720,PF4V1,extracellular,1
Q9Y3U8,RPL36,cytosol;endoplasmic_reticulum;nucleolus;nucleus,4
Q969Q0,RPL36AL,cytosol;nucleus,2
Q9HCY8,S100A14,cytosol;extracellular;vesicle,3
P26447,S100A4,extracellular;nucleus;vesicle,3
P31151,S100A7,cell junction;cytosol;endoplasmic_reticulum;extracellular;lysosome;nucleus;vesicle,7
Q9NS25,SPANXB1,nucleus,1
P55854,SUMO3,nucleus,1
Q9P0S2,COX16,mitochondrion,1
P19875,CXCL2,extracellular,1
P19876,CXCL3,extracellular,1
O96015,DNAL4,cytoskeleton;plasma_membrane,2
P84090,ERH,nucleus,1
P35754,GLRX,cytosol;extracellular;vesicle,3
P17096-3,HMGA1,cell junction;cytosol;nucleus,3
Q96DE5,ANAPC16,cytosol;nucleus,2
O95715,CXCL14,extracellular;golgi,2
P42830,CXCL5,extracellular,1
P52657,GTF2A2,cell junction;nucleus,2
P01308,INS,endoplasmic_reticulum;endosome;er_golgi_intermediate;extracellular;golgi;vesicle,6
P14174,MIF,cytosol;extracellular;nucleus;plasma_membrane;vesicle,5
Q96EL3,MRPL53,mitochondrion,1
P08118,MSMB,extracellular;nucleus,2
O95182,NDUFA7,mitochondrion,1
P56181-2,NDUFV3,mitochondrion,1
Q8WXA2-2,PATE1,extracellular,1
Q7RTV0,PHF5A,nucleus,1
Q9Y2Y1,POLR3K,cytosol;nucleus,2
Q16559,TAL2,nucleus,1
O75347,TBCA,cytoskeleton;nucleolus;nucleus,3
P56279,TCL1A,cytosol;endoplasmic_reticulum;nucleus,3
Q96I45,TMEM141,mitochondrion,1
Q6A555-2,TXNDC8,extracellular;golgi;vesicle,3
P06307,CCK,extracellular;plasma_membrane,2
O14519,CDK2AP1,cytosol;nucleus,2
Q9BSY4,CHCHD5,mitochondrion,1
Q9NZ45,CISD1,mitochondrion,1
P12074,COX6A1,mitochondrion,1
P09341,CXCL1,extracellular;vesicle,2
O75348,ATP6V1G1,cell junction;cytosol;extracellular;lysosome;plasma_membrane;synapse;vesicle,7
B4DP52,ATP6V1G2,cell junction;cytosol;synapse;vesicle,4
O15467,CCL16,extracellular,1
P01215,CGA,extracellular;golgi,2
Q96DA6,DNAJC19,mitochondrion,1
Q9H0R8,GABARAPL1,cytoskeleton;cytosol;endoplasmic_reticulum;golgi;vesicle,5
Q9UBU3-2,GHRL,endoplasmic_reticulum;extracellular;plasma_membrane;vesicle,4
Q9H492-2,MAP1LC3A,cytoskeleton;cytosol;lysosome,3
P58546,MTPN,cytoskeleton;cytosol;nucleus,3
O15155,BET1,endoplasmic_reticulum;er_golgi_intermediate;golgi;nucleus;vesicle,5
O95298,NDUFC2,lysosome;mitochondrion;plasma_membrane;vesicle,4
P49207,RPL34,cytosol;endoplasmic_reticulum;extracellular;vesicle,4
P78537,BLOC1S1,cytosol;extracellular;lysosome;mitochondrion,4
Q8WUR7,C15orf40,mitochondrion,1
Q96PH6,DEFB118,extracellular,1
P13164,IFITM1,lysosome;plasma_membrane,2
P82932,MRPS6,mitochondrion,1
Q9Y5J5,PHLDA3,plasma_membrane,1
P61218,POLR2F,cytosol;nucleolus;nucleus,3
P62899,RPL31,cell junction;cytosol;extracellular;vesicle,4
P42766,RPL35,cytosol;nucleolus;nucleus,3
O95059,RPP14,nucleolus;nucleus,2
Q9BRA2,TXNDC17,cytosol;extracellular;vesicle,3
P42127,ASIP,extracellular,1
Q9BXY8,BEX2,nucleus,1
P61366,OSTN,extracellular,1
Q8WW12-2,PCNP,nucleus,1
Q9Y2S0,POLR1D,cytosol;nucleolus;nucleus,3
P62244,RPS15A,cytosol;extracellular;nucleus;vesicle,4
P62847-2,RPS24,cytosol;endoplasmic_reticulum;nucleus,3
Q6F5E7,TXNRD3NB,cytosol;endoplasmic_reticulum;mitochondrion;nucleus,4
Q96NT0,CCDC115,endoplasmic_reticulum;endosome;er_golgi_intermediate;golgi;lysosome;plasma_membrane;vesicle,7
P10606,COX5B,mitochondrion,1
E9PS44,IFITM3,endosome;lysosome;plasma_membrane;vesicle,4
Q9BRT6,LLPH,nucleolus;nucleus,2
O15116,LSM1,cytosol;nucleus,2
Q4U2R6,MRPL51,mitochondrion,1
O60783,MRPS14,mitochondrion,1
P53680,AP2S1,cytosol;endosome;lysosome;plasma_membrane;vesicle,5
P01037,CST1,extracellular;vesicle,2
P00167-2,CYB5A,cytosol;endoplasmic_reticulum;mitochondrion;nucleus,4
Q6E0U4-2,DMKN,extracellular,1
Q96C01,FAM136A,mitochondrion,1
O43716,GATC,mitochondrion,1
P02008,HBZ,cytosol;extracellular;nucleus;vesicle,4
Q02363,ID2,cytosol;nucleus,2
Q8N2G4-2,LYPD1,extracellular;plasma_membrane,2
P21741,MDK,extracellular,1
O15392,BIRC5,cytoskeleton;cytosol;extracellular;nucleus,4
Q13503,MED21,nucleus,1
Q9Y6G3,MRPL42,mitochondrion;plasma_membrane,2
P35579,MYH9,cytoskeleton;cytosol;extracellular;nucleus;plasma_membrane;synapse;vesicle,7
P60321,NANOS2,nucleus,1
Q9P0J0,NDUFA13,mitochondrion;nucleus,2
Q8NCF5,NFATC2IP,nucleus,1
Q9NPD7,NRN1,extracellular;plasma_membrane,2
Q9UN70-2,PCDHGC3,plasma_membrane,1
Q9NQP4,PFDN4,cytosol;mitochondrion;nucleus,3
P35080-2,PFN2,cytoskeleton;extracellular;vesicle,3
P57054-2,PIGP,endoplasmic_reticulum;nucleus,2
O15514,POLR2D,cytosol;nucleus,2
Q9ULZ3-2,PYCARD,cytoskeleton;cytosol;endoplasmic_reticulum;extracellular;golgi;lysosome;mitochondrion;nucleolus;nucleus;vesicle,10
O43502,RAD51C,cell junction;cytosol;mitochondrion;nucleus,4
P46779,RPL28,cytosol;endoplasmic_reticulum;extracellular;plasma_membrane;vesicle,5
Q5VXT5-2,SYPL2,cell junction;synapse;vesicle,3
Q8WW35,TCTEX1D2,cytoskeleton;nucleus;plasma_membrane,3
Q9NS69,TOMM22,mitochondrion,1
O75379-2,VAMP4,cell junction;endosome;golgi;lysosome;plasma_membrane;synapse;vesicle,7
O00585,CCL21,extracellular,1
P49450-2,CENPA,cytosol;nucleus,2
O14810,CPLX1,cell junction;cytosol;plasma_membrane;synapse,4
Q6PUV4,CPLX2,cell junction;cytosol;nucleus;plasma_membrane;synapse,5
Q8TAM1,BBS10,plasma_membrane,1
P53567,CEBPG,nucleus,1
Q9Y6H1,CHCHD2,mitochondrion;nucleus,2
Q92478,CLEC2B,golgi;plasma_membrane,2
Q9H114,CSTL1,extracellular,1
O43169,CYB5B,endoplasmic_reticulum;mitochondrion;nucleus,3
Q8WW14-2,C10orf82,nucleus,1
P56851,EDDM3B,extracellular,1
C9J4W5,EIF5A2,cytosol;endoplasmic_reticulum;nucleus,3
Q9Y3D6,FIS1,cytosol;mitochondrion;peroxisome,3
P02724,GYPA,cytosol;nucleus;plasma_membrane,3
Q9Y4L1,HYOU1,cell junction;endoplasmic_reticulum;extracellular;mitochondrion;vesicle,5
Q8IY31-2,IFT20,cytoskeleton;golgi;plasma_membrane;vesicle,4
Q8WWZ1-2,IL1F10,extracellular,1
Q86U28,ISCA2,mitochondrion,1
O76095,JTB,cytoskeleton;mitochondrion;plasma_membrane,3
Q6JVE9-2,LCN8,extracellular,1
P08949,NMB,extracellular;plasma_membrane,2
P12273,PIP,extracellular;nucleus;vesicle,3
Q9UNK4,PLA2G2D,extracellular,1
Q9NW61,PLEKHJ1,endosome;golgi;vesicle,3
Q9NRF9,POLE3,nucleus,1
Q8N945-2,PRELID2,mitochondrion,1
Q03393,PTS,cytosol;mitochondrion,2
Q8TAV5,C11orf45,extracellular,1
Q9UNX3,RPL26L1,cytosol;extracellular;vesicle,3
P46776,RPL27A,cytosol;endoplasmic_reticulum;nucleus,3
P62277,RPS13,cell junction;cytosol;extracellular;nucleolus;nucleus;synapse;vesicle,7
P62249,RPS16,cell junction;cytosol;endoplasmic_reticulum;extracellular;nucleus;vesicle,6
O00422,SAP18,cytosol;nucleus,2
P16949-2,STMN1,cytoskeleton;cytosol;extracellular;plasma_membrane;vesicle,5
Q92748,THRSP,cytosol;nucleus,2
P02766,TTR,extracellular;lysosome;vesicle,3
Q9NX01,TXNL4B,cytosol;nucleus,2
P51668,UBE2D1,cytosol;nucleus,2
Q9Y2X8,UBE2D4,nucleus,1
A6NDU8,C5orf51,cytosol;nucleus,2
P27482,CALML3,cytoskeleton;extracellular;nucleus;vesicle,4
O15444,CCL25,extracellular,1
P24666,ACP1,extracellular;plasma_membrane;vesicle,3
Q96SW2-2,CRBN,cytosol;nucleus,2
Q15375-2,EPHA7,plasma_membrane,1
P49326,FMO5,cytosol;endoplasmic_reticulum;nucleus,3
O75293,GADD45B,nucleus,1
P01185,AVP,cytosol;extracellular;vesicle,3
Q99445,GML,plasma_membrane,1
Q9BQQ3-2,GORASP1,er_golgi_intermediate;golgi,2
P42357,HAL,cytosol,1
Q6ZQW0-2,IDO2,cytosol,1
F5GX28,KDM4B,cytosol;nucleus,2
Q5TBC7,BCL2L15,cytosol;nucleus,2
Q99732,LITAF,endosome;golgi;lysosome;nucleus;plasma_membrane;vesicle,6
P25791-3,LMO2,nucleus,1
Q9HBW1,LRRC4,cell junction;golgi;plasma_membrane;synapse,4
P55145,MANF,cytosol;endoplasmic_reticulum;extracellular;nucleus,4
Q8TD08-2,MAPK15,cell junction;cytoskeleton;extracellular;golgi;nucleus;plasma_membrane;vesicle,7
Q68D91-2,MBLAC2,endoplasmic_reticulum;extracellular;mitochondrion;nucleus;plasma_membrane;vesicle,6
O15151,MDM4,nucleus,1
Q5VZ52,MORN5,plasma_membrane,1
P21757,MSR1,extracellular;plasma_membrane;vesicle,3
Q6NSM0,NR1D2,nucleus,1
Q9Y237-2,PIN4,cytoskeleton;mitochondrion;nucleolus;nucleus,4
Q9UGJ0-2,PRKAG2,cytosol;endoplasmic_reticulum;extracellular;nucleus,4
P79522-2,PRR3,nucleus,1
O14921,RGS13,plasma_membrane,1
P12724,RNASE3,extracellular;lysosome;vesicle,3
P51172,SCNN1D,cytoskeleton;plasma_membrane,2
O94979-2,SEC31A,cytosol;endoplasmic_reticulum;golgi;nucleus;vesicle,5
Q01105-2,SET,cytosol;endoplasmic_reticulum;nucleus,3
O75558,STX11,cell junction;golgi;plasma_membrane;synapse,4
Q6DHY5,TBC1D3G,plasma_membrane,1
Q53EQ6,TIGD5,nucleus,1
Q9Y2B4,TP53TG5,nucleolus;nucleus,2
P63279,UBE2I,cytosol;nucleolus;nucleus,3
Q7LFX5,CHST15,golgi,1
Q96DZ9-2,CMTM5,extracellular,1
Q13057-2,COASY,cytosol;extracellular;mitochondrion;vesicle,4
Q7Z7G2,CPLX4,cell junction;plasma_membrane;synapse,3
Q99965-2,ADAM2,plasma_membrane,1
Q9UKJ8,ADAM21,plasma_membrane,1
P16070-10,CD44,cell junction;cytosol;extracellular;golgi;plasma_membrane;vesicle,6
Q9H078-2,CLPB,mitochondrion,1
Q16281,CNGA3,plasma_membrane,1
Q03692,COL10A1,endoplasmic_reticulum;extracellular,2
Q9BY84,DUSP16,cytosol;nucleus;vesicle,3
Q92997,DVL3,cytosol;nucleus,2
P16452-2,EPB42,cytoskeleton;plasma_membrane,2
Q8IYI6,EXOC8,cytosol;endosome;plasma_membrane;vesicle,4
Q93063-2,EXT2,endoplasmic_reticulum;extracellular;golgi;nucleus;vesicle,5
Q969H0,FBXW7,cytosol;nucleolus;nucleus,3
Q8IWF2,FOXRED2,endoplasmic_reticulum,1
P23945,FSHR,plasma_membrane,1
P51116,FXR2,cell junction;cytosol;nucleus;plasma_membrane;synapse,5
Q7L622,G2E3,cytosol;golgi;nucleolus;nucleus,4
Q969S8-2,HDAC10,cytosol;nucleus,2
Q12906-2,ILF3,cytosol;extracellular;mitochondrion;nucleolus;nucleus,5
Q02040-2,AKAP17A,cytosol;nucleus,2
Q96II8-2,LRCH3,cytosol,1
Q6UXK5,LRRN1,plasma_membrane,1
Q16659,MAPK6,cytosol;nucleus,2
Q8TC05,MDM1,cytoskeleton;nucleus,2
Q9NZQ3-2,NCKIPSD,cytoskeleton;cytosol;nucleus,3
Q8N5V2,NGEF,cytosol;plasma_membrane,2
Q86UT6-2,NLRX1,cell junction;cytosol;mitochondrion;plasma_membrane,4
Q9BSC4-2,NOL10,nucleolus;nucleus,2
P54277,PMS1,nucleus,1
O43395,PRPF3,nucleus,1
Q9BYJ1,ALOXE3,cytosol,1
Q9H0K6,PUS7L,nucleus,1
O75116,ROCK2,cytoskeleton;cytosol;nucleus;plasma_membrane,4
Q16799-2,RTN1,cell junction;endoplasmic_reticulum;golgi;nucleus;plasma_membrane;synapse,6
Q5PRF9,SAMD4B,cytosol;nucleus,2
P46059,SLC15A1,plasma_membrane,1
Q9Y6L6,SLCO1B1,plasma_membrane,1
P42224-2,STAT1,cytosol;nucleolus;nucleus,3
Q96SI9-2,STRBP,nucleus,1
Q9UH99,SUN2,cytoskeleton;endosome;nucleus;vesicle,4
Q03519,TAP2,endoplasmic_reticulum;er_golgi_intermediate;nucleus;vesicle,4
O00213-2,APBB1,cell junction;endoplasmic_reticulum;nucleus;plasma_membrane;synapse,5
Q9BQ70,TCF25,cytosol;nucleus,2
P15884-3,TCF4,nucleus,1
O75069,TMCC2,endoplasmic_reticulum;nucleus,2
Q6NUQ4-2,TMEM214,cytoskeleton;endoplasmic_reticulum;golgi;nucleus,4
Q96NG3,TTC25,cytoskeleton;plasma_membrane,2
Q8NCR1,VPS53,endosome;golgi;vesicle,3
O96006,ZBED1,cytoskeleton;nucleus,2
P10074,ZBTB48,nucleus,1
Q7Z5H3-2,ARHGAP22,cell junction;cytosol;nucleus;plasma_membrane;synapse,5
O14978,ZNF263,cytosol;nucleus,2
F5H5G3,ZNF544,nucleus,1
Q9HBZ2-2,ARNT2,nucleus,1
Q96BY7,ATG2B,endoplasmic_reticulum;nucleus,2
O95352,ATG7,cytoskeleton;cytosol;extracellular;plasma_membrane;vesicle,5
Q01814-5,ATP2B2,cell junction;er_golgi_intermediate;extracellular;plasma_membrane;synapse;vesicle,6
P07384,CAPN1,cell junction;cytosol;extracellular;plasma_membrane;vesicle,5
Q96GR2,ACSBG1,cytosol;endoplasmic_reticulum;plasma_membrane;vesicle,4
Q9Y3Q7,ADAM18,plasma_membrane,1
P23276,KEL,cytosol;golgi;nucleus;plasma_membrane,4
Q9NR64,KLHL1,cytoskeleton;plasma_membrane,2
Q92615,LARP4B,cytosol;nucleolus;nucleus,3
Q6UB35,MTHFD1L,cytosol;mitochondrion,2
P28698,MZF1,nucleus,1
Q9BWT3,PAPOLG,cytosol;nucleus,2
Q96AQ6-2,PBXIP1,cytoskeleton;cytosol;nucleus,3
Q9Y6B7,AP4B1,cytosol;endosome;golgi;vesicle,4
O60568,PLOD3,endoplasmic_reticulum;extracellular;golgi;nucleus;vesicle,5
P14859-2,POU2F1,endoplasmic_reticulum;nucleus,2
Q02156,PRKCE,cytoskeleton;cytosol;endoplasmic_reticulum;nucleus;plasma_membrane,5
Q96D71,REPS1,cytosol;plasma_membrane,2
Q9UPW6,SATB2,nucleus,1
Q13214-2,SEMA3B,endoplasmic_reticulum;extracellular;plasma_membrane,3
Q8TEC5-2,SH3RF2,nucleus,1
Q5K4L6,SLC27A3,endoplasmic_reticulum;mitochondrion;nucleus;plasma_membrane,4
Q8TBB6,SLC7A14,lysosome;plasma_membrane,2
O43815-2,STRN,cell junction;cytosol;plasma_membrane;synapse,4
Q8N103-2,TAGAP,cytosol,1
Q92560,BAP1,cytosol;nucleus,2
Q04725,TLE2,cell junction;extracellular;nucleus,3
A2RRH5-2,WDR27,nucleus,1
Q8N895,ZNF366,nucleus,1
Q05996,ZP2,endoplasmic_reticulum;endosome;extracellular;plasma_membrane;vesicle,5
Q8TD31-2,CCHCR1,cytoskeleton;cytosol;nucleus,3
P51795,CLCN5,cell junction;cytosol;endosome;golgi;lysosome;plasma_membrane;synapse;vesicle,8
Q9H9A5-2,CNOT10,cytosol;nucleus,2
Q14746,COG2,golgi;vesicle,2
Q13617,CUL2,cytosol;nucleus,2
Q9UER7-2,DAXX,cytosol;nucleolus;nucleus,3
Q92499,DDX1,cytosol;mitochondrion;nucleus,3
Q9BQ39,DDX50,nucleolus;nucleus,2
P23743,DGKA,cytosol;plasma_membrane,2
Q9NZJ0,DTL,cytoskeleton;cytosol;nucleolus;nucleus,4
O14641,DVL2,cytosol;nucleus;vesicle,3
O15197-2,EPHB6,cytosol;extracellular;plasma_membrane,3
Q16394,EXT1,endoplasmic_reticulum;golgi;nucleus,3
P08238,HSP90AB1,cytosol;extracellular;mitochondrion;nucleus;plasma_membrane;vesicle,6
Q8TED9-4,AFAP1L1,cytoskeleton;cytosol,2
Q01432,AMPD3,cytosol;extracellular;vesicle,3
Q5QJE6,DNTTIP2,nucleolus;nucleus,2
Q9UJX4,ANAPC5,cytoskeleton;cytosol;nucleus,3
Q6IA86-2,ELP2,cytosol;nucleus,2
Q9H4G0-4,EPB41L1,cytoskeleton;cytosol;plasma_membrane,3
Q9UBC2,EPS15L1,cytosol;nucleus;plasma_membrane,3
Q15910-2,EZH2,nucleus,1
A1L4K1,FSD2,endoplasmic_reticulum;nucleus,2
Q969S9-2,GFM2,mitochondrion,1
Q6ZVF9,GPRIN3,plasma_membrane,1
P40939,HADHA,mitochondrion,1
P05107,ITGB2,cell junction;extracellular;plasma_membrane;vesicle,4
Q14244,MAP7,cytoskeleton;cytosol;plasma_membrane,3
P40692,MLH1,nucleus,1
Q96H55-3,MYO19,cytoskeleton;cytosol;mitochondrion,3
Q9Y3T9,NOC2L,nucleolus;nucleus,2
Q96C12,ARMC5,cell junction;cytosol;nucleus,3
P04150-2,NR3C1,cytoskeleton;cytosol;mitochondrion;nucleus,4
Q5BJF6-2,ODF2,cytoskeleton;cytosol;nucleus;plasma_membrane,4
Q68BL8-2,OLFML2B,extracellular,1
P29120,PCSK1,extracellular;plasma_membrane;vesicle,3
Q8N3S3-2,PHTF2,endoplasmic_reticulum,1
Q9BRB3,PIGQ,endoplasmic_reticulum;nucleus,2
P01833,PIGR,extracellular;lysosome;plasma_membrane;vesicle,4
Q9BRC7,PLCD4,cytosol;endoplasmic_reticulum;nucleus;plasma_membrane,4
Q9BQI7,PSD2,plasma_membrane,1
Q2TAL8,QRICH1,nucleus;plasma_membrane,2
Q8IXT5,RBM12B,nucleus,1
Q9NW13,RBM28,nucleolus;nucleus,2
P48380-2,RFX3,nucleus,1
Q9HBX9,RXFP1,plasma_membrane,1
Q01826-2,SATB1,nucleus,1
Q15437,SEC23B,cytosol;endoplasmic_reticulum;golgi;nucleus;vesicle,5
Q99985,SEMA3C,extracellular;plasma_membrane;vesicle,3
Q5TCJ7,SEMA4A,plasma_membrane,1
Q96HI0,SENP5,nucleolus;nucleus,2
P40763-2,STAT3,cytosol;nucleus;plasma_membrane,3
Q14765,STAT4,cytosol;nucleus,2
Q9ULU8-2,CADPS,cell junction;cytosol;synapse;vesicle,4
Q8TDW5,SYTL5,plasma_membrane;vesicle,2
Q15572-2,TAF1C,nucleolus;nucleus,2
Q04724,TLE1,cytosol;nucleus,2
Q9BVJ6,UTP14A,cytosol;nucleolus;nucleus,3
Q5TAP6,UTP14C,cytosol;nucleolus;nucleus,3
Q6ZSB9-2,ZBTB49,cytoskeleton;cytosol;nucleus,3
Q9HBT7,ZNF287,nucleus,1
P00751,CFB,extracellular;plasma_membrane;vesicle,3
O75175,CNOT3,cytosol;nucleus,2
P83436,COG7,golgi;nucleolus;nucleus;vesicle,4
P49747,COMP,extracellular;vesicle,2
P50416-2,CPT1A,mitochondrion,1
Q8N436,CPXM2,extracellular,1
P98082-2,DAB2,cell junction;cytosol;lysosome;nucleolus;nucleus;plasma_membrane;vesicle,7
P49619-3,DGKG,cytoskeleton;cytosol;plasma_membrane,3
Q8IX18-2,DHX40,nucleus,1
Q2M3G0,ABCB5,plasma_membrane,1
Q9UKF2-2,ADAM30,endosome;plasma_membrane;vesicle,3
Q9BQ52-3,ELAC2,cytosol;mitochondrion;nucleus,3
O00423-3,EML1,cytoskeleton;cytosol,2
Q12929,EPS8,extracellular;plasma_membrane;vesicle,3
P19447,ERCC3,nucleus,1
Q8TAG9,EXOC6,cytosol;plasma_membrane;vesicle,3
Q8NFN8,GPR156,plasma_membrane,1
P42263,GRIA3,cell junction;plasma_membrane;synapse;vesicle,4
Q8NA54,IQUB,cytoskeleton;plasma_membrane;vesicle,3
Q8TC27,ADAM32,plasma_membrane,1
Q9Y597-2,KCTD3,plasma_membrane,1
Q92845,KIFAP3,cytoskeleton;cytosol;endoplasmic_reticulum;nucleus;plasma_membrane,5
Q6P9F7,LRRC8B,endoplasmic_reticulum;nucleus;plasma_membrane,3
E9PGZ2,LRRFIP1,cytoskeleton;cytosol;nucleus;plasma_membrane,4
P25205,MCM3,cytoskeleton;nucleus,2
O15146-2,MUSK,cell junction;plasma_membrane;synapse,3
Q32MK0,MYLK3,cytosol,1
Q92832-2,NELL1,extracellular;nucleus,2
Q99435,NELL2,extracellular,1
Q9UN75-2,PCDHA12,plasma_membrane,1
Q9Y5H8-2,PCDHA3,plasma_membrane,1
Q9UN74-2,PCDHA4,plasma_membrane,1
