uniprot,symbol,compartments,n_compartments
Q8NFZ5,TNIP2,cytosol;nucleus,2
Q9UI15,TAGLN3,cytoskeleton,1
O75608-2,LYPLA1,cytosol;endoplasmic_reticulum;extracellular;mitochondrion;nucleus;plasma_membrane;vesicle,7
Q13129,RLF,nucleus,1
O15360,FANCA,cytosol;nucleus,2
A6NDB9,PALM3,plasma_membrane,1
Q16881-2,TXNRD1,cytosol;extracellular;mitochondrion;nucleolus;nucleus;vesicle,6
Q96I59,NARS2,mitochondrion,1
Q9NP95,FGF20,extracellular,1
Q70Z53-2,FRA10AC1,nucleus,1
Q16254,E2F4,nucleus,1
Q15329-2,E2F5,nucleolus;nucleus,2
O00178,GTPBP1,cytosol,1
P13716-2,ALAD,cytosol;extracellular;nucleus;vesicle,4
Q9UFC0,LRWD1,cytoskeleton;nucleolus;nucleus,3
Q9NVE7,PANK4,cytosol;nucleus,2
Q70CQ2-2,USP34,cytosol;nucleus,2
Q9ULL5-3,PRR12,cell junction;nucleus;plasma_membrane;synapse,4
P12270,TPR,cytoskeleton;nucleus,2
Q969E8,TSR2,nucleus,1
Q96IZ5-2,RBM41,nucleus,1
O76064,RNF8,cytosol;nucleus,2
P78344-2,EIF4G2,cell junction;cytosol,2
Q9BZE2,PUS3,cytosol;nucleus,2
Q13480-2,GAB1,cell junction;cytosol,2
O60890,OPHN1,cell junction;cytoskeleton;plasma_membrane;synapse,4
P13984,GTF2F2,cytoskeleton;nucleus,2
Q8IY92,SLX4,nucleus,1
P11413-2,G6PD,cytoskeleton;cytosol;extracellular;plasma_membrane;vesicle,5
O60870,KIN,cytosol;nucleus,2
P36896-2,ACVR1B,plasma_membrane,1
Q16739,UGCG,golgi,1
Q9HAD4,WDR41,lysosome,1
Q969Y2-2,GTPBP3,mitochondrion;nucleus,2
Q9HAJ7,SAP30L,nucleolus;nucleus,2
Q96Q89-2,KIF20B,cytoskeleton;nucleolus;nucleus;plasma_membrane,4
O60282,KIF5C,cytoskeleton;plasma_membrane,2
Q8NG08,HELB,cytosol;nucleus,2
Q86UQ0,ZNF589,nucleus,1
Q8TAA3-5,PSMA8,extracellular;nucleus;vesicle,3
P40306,PSMB10,cytosol;nucleus,2
P61006,RAB8A,cell junction;cytoskeleton;cytosol;endosome;extracellular;golgi;lysosome;plasma_membrane;synapse;vesicle,10
P20340-2,RAB6A,cytosol;endoplasmic_reticulum;endosome;extracellular;golgi;nucleus;plasma_membrane;vesicle,8
Q9Y2I6,NINL,cytoskeleton;cytosol,2
Q9UPT8,ZC3H4,cytosol;nucleus,2
Q9NRA0-2,SPHK2,cytosol;endoplasmic_reticulum;lysosome;mitochondrion;nucleus;plasma_membrane,6
Q14258,TRIM25,cytosol;nucleus,2
Q16623-2,STX1A,cell junction;cytosol;extracellular;plasma_membrane;synapse;vesicle,6
O95376,ARIH2,nucleus,1
O43464,HTRA2,cytoskeleton;cytosol;endoplasmic_reticulum;mitochondrion;nucleus;plasma_membrane,6
Q9H4I2,ZHX3,nucleus,1
Q9UID6,ZNF639,nucleus,1
O15169-2,AXIN1,cytosol;nucleolus;nucleus;plasma_membrane;vesicle,5
Q96JH8-1,RADIL,cytoskeleton,1
Q8WVM7,STAG1,cytoskeleton;cytosol;nucleus,3
Q9NZT1,CALML5,extracellular;vesicle,2
Q8TF74,WIPF2,cytoskeleton;cytosol,2
Q96P48-3,ARAP1,cytoskeleton;cytosol;endosome;golgi;nucleus;plasma_membrane;vesicle,7
P22681,CBL,cytosol;golgi;plasma_membrane,3
Q07890,SOS2,cytosol;plasma_membrane,2
Q9ULH1-2,ASAP1,cytoskeleton;cytosol;golgi;plasma_membrane,4
O43150-2,ASAP2,cytosol;golgi;plasma_membrane,3
Q6ZUJ8,PIK3AP1,cytosol;plasma_membrane,2
P52952,NKX2-5,nucleus,1
O00750,PIK3C2B,cytosol;endoplasmic_reticulum;nucleus;plasma_membrane,4
Q9H9H4,VPS37B,endosome;extracellular;plasma_membrane;vesicle,4
O43516,WIPF1,cytoskeleton;cytosol;plasma_membrane;vesicle,4
A6NGB9,WIPF3,cytosol;endosome;vesicle,3
P23497,SP100,nucleolus;nucleus,2
Q96LD8,SENP8,cytosol,1
Q9Y3D3,MRPS16,mitochondrion,1
Q96RP9,GFM1,mitochondrion,1
Q13423,NNT,mitochondrion,1
Q9NUB1-2,ACSS1,mitochondrion,1
Q5ST30,VARS2,cytosol;mitochondrion,2
Q8NE62,CHDH,mitochondrion,1
Q9Y2X9,ZNF281,nucleus,1
O60239,SH3BP5,mitochondrion;nucleus;vesicle,3
Q8IYJ3,SYTL1,extracellular;plasma_membrane;vesicle,3
Q96C24,SYTL4,endosome;plasma_membrane;vesicle,3
Q9HCH5-6,SYTL2,cytosol;plasma_membrane;vesicle,3
P04062-2,GBA,endoplasmic_reticulum;extracellular;golgi;lysosome;vesicle,5
Q4VX76-2,SYTL3,plasma_membrane;vesicle,2
Q8TF30-2,WHAMM,cytoskeleton;cytosol;er_golgi_intermediate;golgi;vesicle,5
Q2KHT3-2,CLEC16A,cytosol;endosome;golgi;lysosome;vesicle,5
P61970,NUTF2,cytosol;extracellular;nucleus;vesicle,4
Q68DN6,RGPD2,nucleus,1
A6NED0,GSTZ1,cytosol;mitochondrion,2
Q9BZX4,ROPN1B,plasma_membrane,1
P01243,CSH2,endoplasmic_reticulum;extracellular;vesicle,3
Q8WU79-2,SMAP2,cytosol;nucleus,2
P06727,APOA4,cytosol;endoplasmic_reticulum;endosome;extracellular;vesicle,5
P78347-2,GTF2I,nucleus,1
O43791,SPOP,cytosol;nucleus,2
Q8N5Z0,AADAT,mitochondrion,1
Q8TEA7-2,TBCK,cytoskeleton;endosome;vesicle,3
